91 9188 1640 4356 1200 16384 0.884482 0.726484 0.273516
92 9153 1597 4399 1235 16384 0.881113 0.733656 0.266344
93 9111 1560 4436 1277 16384 0.877070 0.739827 0.260173
94 9080 1524 4472 1308 16384 0.874085 0.745831 0.254169
95 9043 1489 4507 1345 16384 0.870524 0.751668 0.248332
96 8998 1462 4534 1390 16384 0.866192 0.756171 0.243829
97 8951 1420 4576 1437 16384 0.861667 0.763175 0.236825
98 8913 1389 4607 1475 16384 0.858009 0.768346 0.231654
99 8863 1357 4639 1525 16384 0.853196 0.773682 0.226318
100 8824 1327 4669 1564 16384 0.849442 0.778686 0.221314
101 8774 1300 4696 1614 16384 0.844628 0.783189 0.216811
102 8722 1285 4711 1666 16384 0.839623 0.785690 0.214310
103 8685 1256 4740 1703 16384 0.836061 0.790527 0.209473
104 8636 1216 4780 1752 16384 0.831344 0.797198 0.202802
105 8585 1186 4810 1803 16384 0.826434 0.802201 0.197799
106 8545 1167 4829 1843 16384 0.822584 0.805370 0.194630
107 8495 1140 4856 1893 16384 0.817770 0.809873 0.190127
108 8445 1114 4882 1943 16384 0.812957 0.814209 0.185791
109 8386 1089 4907 2002 16384 0.807278 0.818379 0.181621
110 8332 1069 4927 2056 16384 0.802079 0.821714 0.178286
111 8278 1044 4952 2110 16384 0.796881 0.825884 0.174116
112 8244 1017 4979 2144 16384 0.793608 0.830387 0.169613
113 8190 1001 4995 2198 16384 0.788410 0.833055 0.166945
114 8133 977 5019 2255 16384 0.782923 0.837058 0.162942
115 8081 960 5036 2307 16384 0.777917 0.839893 0.160107
116 8033 942 5054 2355 16384 0.773296 0.842895 0.157105
117 7967 929 5067 2421 16384 0.766943 0.845063 0.154937
118 7907 913 5083 2481 16384 0.761167 0.847732 0.152268
119 7851 894 5102 2537 16384 0.755776 0.850901 0.149099
120 7796 868 5128 2592 16384 0.750481 0.855237 0.144763
121 7738 850 5146 2650 16384 0.744898 0.858239 0.141761
122 7677 828 5168 2711 16384 0.739026 0.861908 0.138092
123 7624 809 5187 2764 16384 0.733924 0.865077 0.134923
124 7563 790 5206 2825 16384 0.728052 0.868245 0.131755
125 7500 766 5230 2888 16384 0.721987 0.872248 0.127752
126 7434 754 5242 2954 16384 0.715633 0.874250 0.125750
127 7352 742 5254 3036 16384 0.707740 0.876251 0.123749
128 7279 723 5273 3109 16384 0.700712 0.879420 0.120580
129 7218 714 5282 3170 16384 0.694840 0.880921 0.119079
130 7149 692 5304 3239 16384 0.688198 0.884590 0.115410
131 7083 676 5320 3305 16384 0.681844 0.887258 0.112742
132 7004 663 5333 3384 16384 0.674240 0.889426 0.110574
133 6932 652 5344 3456 16384 0.667308 0.891261 0.108739
134 6872 638 5358 3516 16384 0.661533 0.893596 0.106404
