0 32 0.000118 0.000118
1 122 0.000449 0.000567
2 80 0.000295 0.000862
3 94 0.000346 0.001208
4 103 0.000379 0.001587
5 112 0.000412 0.001999
6 148 0.000545 0.002544
7 154 0.000567 0.003111
8 166 0.000611 0.003723
9 229 0.000843 0.004566
10 236 0.000869 0.005435
11 284 0.001046 0.006481
12 298 0.001097 0.007578
13 326 0.001200 0.008778
14 421 0.001550 0.010329
15 438 0.001613 0.011941
16 538 0.001981 0.013922
17 606 0.002231 0.016154
18 674 0.002482 0.018636
19 719 0.002648 0.021283
20 767 0.002824 0.024108
21 865 0.003185 0.027293
22 972 0.003579 0.030872
23 1001 0.003686 0.034558
24 1143 0.004209 0.038766
25 1178 0.004338 0.043104
26 1290 0.004750 0.047854
27 1404 0.005170 0.053024
28 1476 0.005435 0.058459
29 1511 0.005564 0.064023
30 1596 0.005877 0.069900
31 1651 0.006079 0.075979
32 1761 0.006484 0.082463
33 1691 0.006227 0.088690
34 1753 0.006455 0.095145
35 1792 0.006599 0.101744
36 1750 0.006444 0.108187
37 1858 0.006842 0.115029
38 1763 0.006492 0.121521
39 1826 0.006724 0.128245
40 1841 0.006779 0.135023
41 1762 0.006488 0.141512
42 1797 0.006617 0.148129
43 1839 0.006772 0.154900
44 1777 0.006543 0.161443
45 1804 0.006643 0.168086
46 1893 0.006970 0.175057
47 1807 0.006654 0.181710
48 1768 0.006510 0.188221
49 1812 0.006672 0.194893
50 1780 0.006554 0.201447
51 1804 0.006643 0.208090
52 1791 0.006595 0.214685
53 1808 0.006657 0.221342
54 1818 0.006694 0.228036
55 1865 0.006867 0.234904
56 1860 0.006849 0.241753
57 1867 0.006875 0.248627
58 1814 0.006680 0.255307
59 1881 0.006926 0.262233
60 1854 0.006827 0.269060
61 1925 0.007088 0.276148
62 1963 0.007228 0.283377
63 1880 0.006923 0.290299
64 1823 0.006713 0.297012
65 1942 0.007151 0.304163
66 1913 0.007044 0.311207
67 1827 0.006727 0.317934
68 1821 0.006705 0.324640
69 1841 0.006779 0.331419
70 1784 0.006569 0.337988
71 1850 0.006812 0.344800
72 1767 0.006506 0.351306
73 1791 0.006595 0.357901
74 1805 0.006646 0.364548
75 1707 0.006286 0.370833
76 1746 0.006429 0.377262
77 1714 0.006311 0.383574
78 1726 0.006356 0.389929
79 1612 0.005936 0.395865
80 1644 0.006054 0.401919
81 1618 0.005958 0.407876
82 1631 0.006006 0.413882
83 1609 0.005925 0.419807
84 1488 0.005479 0.425286
85 1550 0.005707 0.430993
86 1511 0.005564 0.436557
87 1494 0.005501 0.442058
88 1538 0.005663 0.447722
89 1551 0.005711 0.453433
90 1557 0.005733 0.459166
91 1566 0.005766 0.464932
92 1617 0.005954 0.470887
93 1651 0.006079 0.476966
94 1759 0.006477 0.483443
95 1830 0.006738 0.490181
96 1726 0.006356 0.496537
97 1820 0.006702 0.503239
98 1768 0.006510 0.509749
99 1693 0.006234 0.515983
100 1649 0.006072 0.522055
101 1573 0.005792 0.527847
102 1483 0.005461 0.533308
103 1479 0.005446 0.538754
104 1373 0.005056 0.543809
105 1357 0.004997 0.548806
106 1309 0.004820 0.553626
107 1274 0.004691 0.558317
108 1292 0.004757 0.563075
109 1164 0.004286 0.567361
110 1167 0.004297 0.571658
111 1144 0.004212 0.575870
112 1090 0.004014 0.579884
113 1104 0.004065 0.583949
114 1086 0.003999 0.587948
115 1057 0.003892 0.591840
116 993 0.003656 0.595497
117 980 0.003609 0.599105
118 939 0.003458 0.602563
119 934 0.003439 0.606002
120 954 0.003513 0.609515
121 936 0.003447 0.612961
122 898 0.003307 0.616268
123 858 0.003159 0.619427
124 911 0.003355 0.622782
125 838 0.003086 0.625868
126 829 0.003053 0.628920
127 786 0.002894 0.631814
128 829 0.003053 0.634867
129 741 0.002729 0.637596
130 764 0.002813 0.640409
131 735 0.002706 0.643115
132 695 0.002559 0.645674
133 738 0.002717 0.648392
134 745 0.002743 0.651135
135 697 0.002567 0.653702
136 782 0.002879 0.656581
137 703 0.002589 0.659170
138 698 0.002570 0.661740
139 695 0.002559 0.664299
140 664 0.002445 0.666744
141 685 0.002522 0.669266
142 705 0.002596 0.671862
143 699 0.002574 0.674436
144 777 0.002861 0.677297
145 720 0.002651 0.679948
146 752 0.002769 0.682718
147 770 0.002835 0.685553
148 804 0.002961 0.688513
149 773 0.002846 0.691360
150 848 0.003123 0.694482
151 830 0.003056 0.697538
152 790 0.002909 0.700447
153 865 0.003185 0.703633
154 844 0.003108 0.706740
155 819 0.003016 0.709756
156 890 0.003277 0.713033
157 892 0.003285 0.716318
158 971 0.003575 0.719893
159 918 0.003380 0.723274
160 1001 0.003686 0.726959
161 1031 0.003796 0.730756
162 985 0.003627 0.734383
163 1077 0.003966 0.738349
164 1204 0.004433 0.742782
165 1353 0.004982 0.747764
166 1381 0.005085 0.752849
167 1464 0.005391 0.758240
168 1640 0.006039 0.764279
169 1763 0.006492 0.770771
170 2024 0.007453 0.778223
171 2964 0.010914 0.789137
172 2929 0.010785 0.799923
173 3630 0.013366 0.813289
174 3392 0.012490 0.825779
175 3033 0.011168 0.836947
176 3071 0.011308 0.848256
177 2981 0.010977 0.859232
178 2910 0.010715 0.869948
179 2557 0.009415 0.879363
180 2315 0.008524 0.887887
181 1937 0.007132 0.895020
182 1661 0.006116 0.901136
183 1449 0.005336 0.906472
184 1239 0.004562 0.911034
185 991 0.003649 0.914683
186 858 0.003159 0.917842
187 809 0.002979 0.920821
188 682 0.002511 0.923332
189 698 0.002570 0.925903
190 643 0.002368 0.928270
